"","taxa","family","genus","lme","rank","survey","source","type.length","level_inferred","b","a"
"395","Gaidropsarus vulgaris","Lotidae","Gaidropsarus",22,"Species","BITS","fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"396","Salmo trutta trutta","Salmonidae","Salmo",22,"Subspecies","BITS","fb","TL","gen-FAO",3.13247376680374,0.00727375003043562
"397","Pollachius virens","Gadidae","Pollachius",22,"Species","BITS","fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"398","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus",22,"Species","BITS","fb","TL","spe-FAO",3.17112505435944,0.00186124999163439
"399","Molva molva","Lotidae","Molva",22,"Species","BITS","fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"400","Ammodytes marinus","Ammodytidae","Ammodytes",22,"Species","BITS","fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"401","Raja clavata","Rajidae","Raja",22,"Species","BITS","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"402","Amblyraja radiata","Rajidae","Amblyraja",22,"Species","BITS","fb","TL","spe-FAO",2.19000005722046,0.157000005245209
"403","Petromyzon marinus","Petromyzontidae","Petromyzon",22,"Species","BITS","fb","TL","spe-Ocean",3,0.00208000000566244
"404","Scomber scombrus","Scombridae","Scomber",22,"Species","BITS","fb","TL","spe-FAO",3.14799996784755,0.00553000004895564
"405","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus",23,"Species","BITS","fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"406","Pholis gunnellus","Pholidae","Pholis",23,"Species","BITS","fb","TL","spe-FAO",3.01799988746643,0.00430000014603138
"407","Gobiidae","Gobiidae",NA,23,"Family","BITS","fb","TL","fam-FAO",3.33234616426321,0.00517657690551669
"408","Spinachia spinachia","Gasterosteidae","Spinachia",23,"Species","BITS","fb","TL","spe-FAO",3,0.00209999992512167
"409","Labridae","Labridae",NA,23,"Family","BITS","fb","TL","fam-FAO",3.05526316793341,0.0128831577879426
"410","Labridae","Labridae",NA,22,"Family","BITS","fb","TL","fam-FAO",3.05526316793341,0.0128831577879426
"411","Ammodytes tobianus","Ammodytidae","Ammodytes",23,"Species","BITS","fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"412","Lophius piscatorius","Lophiidae","Lophius",22,"Species","BITS","fb","TL","spe-FAO",2.92016661167145,0.0226983334093044
"413","Sardina pilchardus","Clupeidae","Sardina",23,"Species","BITS","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"414","Trachurus trachurus","Carangidae","Trachurus",23,"Species","BITS","fb","TL","spe-FAO",2.98509090596979,0.0101099999367513
"415","Engraulis encrasicolus","Engraulidae","Engraulis",23,"Species","BITS","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"416","Alosa","Clupeidae","Alosa",23,"Genus","BITS","fb","TL","gen-FAO",3.00114814440409,0.0147885183665763
"417","Anguilla anguilla","Anguillidae","Anguilla",22,"Species","BITS","fb","TL","spe-FAO",3.05780488688771,0.00254602437869436
"418","Ammodytidae","Ammodytidae",NA,22,"Family","BITS","fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"419","Engraulis encrasicolus","Engraulidae","Engraulis",22,"Species","BITS","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"420","Pomatoschistus","Gobiidae","Pomatoschistus",22,"Genus","BITS","fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"421","Spinachia spinachia","Gasterosteidae","Spinachia",22,"Species","BITS","fb","TL","spe-FAO",3,0.00209999992512167
"422","Trachinus draco","Trachinidae","Trachinus",23,"Species","BITS","fb","TL","spe-FAO",3.13050001859665,0.0063212500026566
"423","Ammodytidae","Ammodytidae",NA,23,"Family","BITS","fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"424","Syngnathidae","Syngnathidae",NA,23,"Family","BITS","fb","TL","fam-FAO",3.02854544466192,0.00167169091252039
"425","Zoarces viviparus","Zoarcidae","Zoarces",23,"Species","BITS","fb","TL","spe-FAO",3.02499997615814,0.00594999990426004
"426","Mullus surmuletus","Mullidae","Mullus",22,"Species","BITS","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"427","Brosme brosme","Lotidae","Brosme",22,"Species","BITS","fb","TL","spe-Ocean",2.92197995185852,0.0273172088898718
"428","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus",22,"Species","BITS","fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"429","Pomatoschistus","Gobiidae","Pomatoschistus",23,"Genus","BITS","fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"430","Bothidae","Bothidae",NA,23,"Family","BITS","fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"431","Gobiidae","Gobiidae",NA,22,"Family","BITS","fb","TL","fam-FAO",3.33234616426321,0.00517657690551669
"432","Bothidae","Bothidae",NA,22,"Family","BITS","fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"433","Ammodytes tobianus","Ammodytidae","Ammodytes",22,"Species","BITS","fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"434","Squalus acanthias","Squalidae","Squalus",22,"Species","BITS","fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"435","Osmerus eperlanus","Osmeridae","Osmerus",22,"Species","BITS","fb","TL","spe-Ocean",2.85349988937378,0.00939999986439943
"436","Gasterosteus aculeatus aculeatus","Gasterosteidae","Gasterosteus",22,"Subspecies","BITS","fb","TL","gen-FAO",3.04900002479553,0.010499999858439
"437","Gobius","Gobiidae","Gobius",22,"Genus","BITS","fb","TL","gen-FAO",3.08200001716614,0.0110571428335139
"438","Ammodytes marinus","Ammodytidae","Ammodytes",23,"Species","BITS","fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"439","Zeugopterus punctatus","Scophthalmidae","Zeugopterus",23,"Species","BITS","fb","TL","spe-FAO",3.14599990844727,0.0138999996706843
"440","Gobius","Gobiidae","Gobius",23,"Genus","BITS","fb","TL","gen-FAO",3.08200001716614,0.0110571428335139
"441","Chelidonichthys lucerna","Triglidae","Chelidonichthys",22,"Species","BITS","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"442","Liparis","Liparidae","Liparis",23,"Genus","BITS","fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"443","Petromyzon marinus","Petromyzontidae","Petromyzon",23,"Species","BITS","fb","TL","spe-Ocean",3,0.00208000000566244
"444","Arnoglossus laterna","Bothidae","Arnoglossus",23,"Species","BITS","fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"445","Entelurus aequoreus","Syngnathidae","Entelurus",23,"Species","BITS","fb","TL","spe-FAO",3,0.00022000000171829
"446","Mullus surmuletus","Mullidae","Mullus",23,"Species","BITS","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"447","Ammodytes","Ammodytidae","Ammodytes",23,"Genus","BITS","fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"448","Myoxocephalus quadricornis","Cottidae","Myoxocephalus",23,"Species","BITS","fb","TL","spe-FAO",2.95219993591309,0.0229000002145767
"449","Dipturus","Rajidae","Dipturus",22,"Genus","BITS","fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"450","Syngnathidae","Syngnathidae",NA,22,"Family","BITS","fb","TL","fam-FAO",3.02854544466192,0.00167169091252039
"451","Argentina","Argentinidae","Argentina",23,"Genus","BITS","fb","TL","gen-FAO",3.18159999847412,0.00375999992247671
"452","Aphia minuta","Gobiidae","Aphia",22,"Species","BITS","fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"453","Lycodes vahlii","Zoarcidae","Lycodes",22,"Species","BITS","fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"454","Hippoglossus hippoglossus","Pleuronectidae","Hippoglossus",22,"Species","BITS","fb","TL","spe-FAO",3.1010000705719,0.020299999974668
"455","Zeugopterus punctatus","Scophthalmidae","Zeugopterus",22,"Species","BITS","fb","TL","spe-FAO",3.14599990844727,0.0138999996706843
"456","Dicentrarchus labrax","Moronidae","Dicentrarchus",22,"Species","BITS","fb","TL","spe-FAO",3.00228571891785,0.0105842856823334
"457","Callionymus lyra","Callionymidae","Callionymus",23,"Species","BITS","fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"458","Ctenolabrus rupestris","Labridae","Ctenolabrus",23,"Species","BITS","fb","TL","spe-FAO",3,0.0122999995946884
"459","Ctenolabrus rupestris","Labridae","Ctenolabrus",22,"Species","BITS","fb","TL","spe-FAO",3,0.0122999995946884
"460","Alosa","Clupeidae","Alosa",22,"Genus","BITS","fb","TL","gen-FAO",3.00114814440409,0.0147885183665763
"461","Myxine glutinosa","Myxinidae","Myxine",22,"Species","BITS","fb","TL","spe-Ocean",2.83570003509521,0.00219999998807907
"462","Chelidonichthys cuculus","Triglidae","Chelidonichthys",22,"Species","BITS","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"463","Coregonus albula","Salmonidae","Coregonus",23,"Species","BITS","fb","TL","spe-FAO",3.33333341280619,0.00419999992785354
"464","Anarhichas lupus","Anarhichadidae","Anarhichas",23,"Species","BITS","fb","TL","spe-FAO",3.15966669718424,0.00510000018402934
"465","Soleidae","Soleidae",NA,22,"Family","BITS","fb","TL","fam-FAO",3.08244706602658,0.00902630000457387
"466","Argentina","Argentinidae","Argentina",22,"Genus","BITS","fb","TL","gen-FAO",3.18159999847412,0.00375999992247671
"467","Ciliata","Lotidae","Ciliata",23,"Genus","BITS","fb","TL","gen-FAO",3,0.0063999998383224
"468","Mullus barbatus barbatus","Mullidae","Mullus",22,"Subspecies","BITS","fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"469","Pungitius pungitius","Gasterosteidae","Pungitius",22,"Species","BITS","fb","TL","spe-Ocean",3.07999992370605,0.00337999989278615
"470","Mullus barbatus barbatus","Mullidae","Mullus",23,"Subspecies","BITS","fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"471","Entelurus aequoreus","Syngnathidae","Entelurus",22,"Species","BITS","fb","TL","spe-FAO",3,0.00022000000171829
"472","Sardina pilchardus","Clupeidae","Sardina",22,"Species","BITS","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"473","Lampetra fluviatilis","Petromyzontidae","Lampetra",23,"Species","BITS","fb","TL","spe-FAO",3.07050001621246,0.00151299999561161
"474","Phycis blennoides","Phycidae","Phycis",22,"Species","BITS","fb","TL","spe-FAO",3.22157141140529,0.00510999989429755
"475","Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus",22,"Species","BITS","fb","TL","spe-FAO",2.90499997138977,0.016100000590086
"476","Pungitius pungitius","Gasterosteidae","Pungitius",23,"Species","BITS","fb","TL","spe-Ocean",3.07999992370605,0.00337999989278615
"477","Hyperoplus","Ammodytidae","Hyperoplus",23,"Genus","BITS","fb","TL","gen-Ocean",2.78923336664836,0.00631922716274858
"478","Zeus faber","Zeidae","Zeus",22,"Species","BITS","fb","TL","spe-FAO",3.02000001498631,0.016679999950741
"479","Syngnathus","Syngnathidae","Nerophis",23,"Genus","BITS","fb","TL","gen-FAO",2.85800004005432,0.000306999994791113
"480","Chelon labrosus","Mugilidae","Chelon",23,"Species","BITS","fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"481","Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus",22,"Species","BITS","fb","TL","spe-Ocean",3.16700005531311,0.0020000000949949
"482","Argyropelecus olfersii","Sternoptychidae","Argyropelecus",22,"Species","BITS","fb","TL","spe-Ocean",3,0.0187928676605225
"483","Symphodus melops","Labridae","Symphodus",22,"Species","BITS","fb","TL","spe-FAO",3.1350000500679,0.00903999991714954
"484","Leptoclinus maculatus","Stichaeidae","Leptoclinus",23,"Species","BITS","fb","TL","fam-Ocean",2.73141430105482,0.039298572377967
"485","Chelidonichthys lucerna","Triglidae","Chelidonichthys",23,"Species","BITS","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"486","Labrus bergylta","Labridae","Labrus",22,"Species","BITS","fb","TL","spe-FAO",3,0.0144999995827675
"487","Lycodes vahlii","Zoarcidae","Lycodes",23,"Species","BITS","fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"488","Belone belone","Belonidae","Belone",23,"Species","BITS","fb","TL","spe-FAO",3.09733327229818,0.00098333335093533
"489","Etmopterus spinax","Etmopteridae","Etmopterus",22,"Species","BITS","fb","TL","spe-FAO",3.13499999046326,0.00282333333355685
"490","Leptoclinus maculatus","Stichaeidae","Leptoclinus",22,"Species","BITS","fb","TL","fam-Ocean",2.73141430105482,0.039298572377967
"491","Chelidonichthys cuculus","Triglidae","Chelidonichthys",23,"Species","BITS","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"492","Mustelus","Triakidae","Mustelus",22,"Genus","BITS","fb","TL","gen-FAO",3.1599999666214,0.00200000003678724
"493","Gasterosteidae","Gasterosteidae",NA,23,"Family","BITS","fb","TL","fam-FAO",3.02450001239777,0.00629999989178032
"494","Lipophrys pholis","Blenniidae","Lipophrys",23,"Species","BITS","fb","TL","spe-FAO",3,0.00930000003427267
"495","Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus",23,"Species","BITS","fb","TL","spe-FAO",3.23500001430511,0.00275000010151416
"496","Pollachius pollachius","Gadidae","Pollachius",22,"Species","BITS","fb","TL","spe-FAO",3.10833334922791,0.00595333334058523
"497","Ciliata","Lotidae","Ciliata",22,"Genus","BITS","fb","TL","gen-FAO",3,0.0063999998383224
"498","Atherina presbyter","Atherinidae","Atherina",23,"Species","BITS","fb","TL","spe-FAO",3.02499997615814,0.00664999987930059
"499","Cottidae","Cottidae",NA,23,"Family","BITS","fb","TL","fam-FAO",3.11655002832413,0.0137250000843778
"500","Gobius","Gobiidae","Neogobius",23,"Genus","BITS","fb","TL","gen-FAO",3.35599994659424,0.00493500009179115
"501","Lampetra fluviatilis","Petromyzontidae","Lampetra",22,"Species","BITS","fb","TL","spe-FAO",3.07050001621246,0.00151299999561161
"502","Aphia minuta","Gobiidae","Aphia",23,"Species","BITS","fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"503","Liparis","Liparidae","Liparis",22,"Genus","BITS","fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"504","Acantholabrus palloni","Labridae","Acantholabrus",23,"Species","BITS","fb","TL","spe-Ocean",3.07399988174438,0.0108000002801418
"505","Hyperoplus immaculatus","Ammodytidae","Hyperoplus",23,"Species","BITS","fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"506","Taurulus bubalis","Cottidae","Taurulus",23,"Species","BITS","fb","TL","spe-FAO",3,0.0153999999165535
"507","Buglossidium luteum","Soleidae","Buglossidium",23,"Species","BITS","fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"508","Gaidropsarus vulgaris","Lotidae","Gaidropsarus",23,"Species","BITS","fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"509","Micromesistius poutassou","Gadidae","Micromesistius",22,"Species","BITS","fb","TL","spe-FAO",3.31183330217997,0.00267333331673096
"510","Neogobius","Gobiidae","Neogobius",23,"Genus","BITS","fb","TL","gen-FAO",3.35599994659424,0.00493500009179115
"511","Trisopterus luscus","Gadidae","Trisopterus",22,"Species","BITS","fb","TL","spe-FAO",3.19577778710259,0.00780111119254596
"512","Raniceps raninus","Gadidae","Raniceps",22,"Species","BITS","fb","TL","spe-Ocean",3.26699995994568,0.00620000017806888
"513","Triglops","Cottidae","Triglops",23,"Genus","BITS","fb","TL","gen-Ocean",3,0.00880332756787539
"514","Symphodus melops","Labridae","Symphodus",23,"Species","BITS","fb","TL","spe-FAO",3.1350000500679,0.00903999991714954
"515","Molva molva","Lotidae","Molva",23,"Species","BITS","fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"516","Pollachius pollachius","Gadidae","Pollachius",23,"Species","BITS","fb","TL","spe-FAO",3.10833334922791,0.00595333334058523
"517","Gobiusculus flavescens","Gobiidae","Gobiusculus",23,"Species","BITS","fb","TL","fam-FAO",3.33234616426321,0.00517657690551669
"518","Labrus bergylta","Labridae","Labrus",23,"Species","BITS","fb","TL","spe-FAO",3,0.0144999995827675
"519","Argyropelecus olfersii","Sternoptychidae","Argyropelecus",23,"Species","BITS","fb","TL","spe-Ocean",3,0.0187928676605225
"520","Gymnammodytes semisquamatus","Ammodytidae","Gymnammodytes",22,"Species","BITS","fb","TL","gen-Ocean",3.30699992179871,0.00120000005699694
"521","Sparus aurata","Sparidae","Sparus",22,"Species","BITS","fb","TL","spe-FAO",3.01379997389657,0.0299771432099598
"522","Brama brama","Bramidae","Brama",22,"Species","BITS","fb","TL","spe-FAO",3.18499994277954,0.00510999979451299
"523","Chelon labrosus","Mugilidae","Chelon",22,"Species","BITS","fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"524","Caranx rhonchus","Carangidae","Caranx",23,"Species","BITS","fb","TL","spe-FAO",2.42549991607666,0.0774999987334013
"525","Callionymidae","Callionymidae",NA,22,"Family","BITS","fb","TL","fam-FAO",2.57766668001811,0.0322553334136804
"526","Pegusa lascaris","Soleidae","Pegusa",23,"Species","BITS","fb","TL","spe-FAO",3.16500008106232,0.00690000015310943
"527","Callionymidae","Callionymidae",NA,23,"Family","BITS","fb","TL","fam-FAO",2.57766668001811,0.0322553334136804
"528","Sebastes viviparus","Sebastidae","Sebastes",22,"Species","BITS","fb","TL","spe-FAO",3.13700008392334,0.0115000000223517
"529","Lycodes gracilis","Zoarcidae","Lycodes",22,"Species","BITS","fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"530","Gobius","Gobiidae","Neogobius",22,"Genus","BITS","fb","TL","gen-FAO",3.35599994659424,0.00493500009179115
"531","Taurulus bubalis","Cottidae","Taurulus",22,"Species","BITS","fb","TL","spe-FAO",3,0.0153999999165535
"532","Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus",22,"Species","BITS","fb","TL","spe-FAO",2.95000004768372,0.00633999984711409
"533","Lycodes gracilis","Zoarcidae","Lycodes",23,"Species","BITS","fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"534","Crystallogobius linearis","Gobiidae","Crystallogobius",23,"Species","BITS","fb","TL","fam-FAO",3.33234616426321,0.00517657690551669
"535","Merlangius merlangus","Gadidae","Merlangius",24,"Species","EVHOE","fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"536","Sardina pilchardus","Clupeidae","Sardina",24,"Species","EVHOE","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"537","Trachurus trachurus","Carangidae","Trachurus",24,"Species","EVHOE","fb","TL","spe-FAO",2.98509090596979,0.0101099999367513
"538","Merluccius merluccius","Merlucciidae","Merluccius",24,"Species","EVHOE","fb","TL","spe-FAO",3.06889998912811,0.00578580009751022
"539","Buglossidium luteum","Soleidae","Buglossidium",24,"Species","EVHOE","fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"540","Callionymus","Callionymidae","Callionymus",24,"Genus","EVHOE","fb","TL","gen-FAO",2.57807144096919,0.0336242858320475
"541","Mullus surmuletus","Mullidae","Mullus",24,"Species","EVHOE","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"542","Echiichthys vipera","Trachinidae","Echiichthys",24,"Species","EVHOE","fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"543","Callionymus lyra","Callionymidae","Callionymus",24,"Species","EVHOE","fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"544","Arnoglossus laterna","Bothidae","Arnoglossus",24,"Species","EVHOE","fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"545","Lophius piscatorius","Lophiidae","Lophius",24,"Species","EVHOE","fb","TL","spe-FAO",2.92016661167145,0.0226983334093044
"546","Trachinus draco","Trachinidae","Trachinus",24,"Species","EVHOE","fb","TL","spe-FAO",3.13050001859665,0.0063212500026566
"547","Trisopterus luscus","Gadidae","Trisopterus",24,"Species","EVHOE","fb","TL","spe-FAO",3.19577778710259,0.00780111119254596
"548","Sparus aurata","Sparidae","Sparus",24,"Species","EVHOE","fb","TL","spe-FAO",3.01379997389657,0.0299771432099598
"549","Boops boops","Sparidae","Boops",24,"Species","EVHOE","fb","TL","spe-FAO",2.97642857687814,0.0101614286457854
"550","Chelon","Mugilidae","Chelon",24,"Genus","EVHOE","fb","TL","gen-FAO",3.02244999408722,0.00962350000627339
"551","Spondyliosoma cantharus","Sparidae","Spondyliosoma",24,"Species","EVHOE","fb","TL","spe-FAO",3.08690907738426,0.0119009090756828
"552","Trachurus mediterraneus","Carangidae","Trachurus",24,"Species","EVHOE","fb","TL","spe-FAO",2.78233337402344,0.0169333331286907
"553","Labrus mixtus","Labridae","Labrus",24,"Species","EVHOE","fb","TL","spe-FAO",3.25699996948242,0.00499999988824129
"554","Microchirus variegatus","Soleidae","Microchirus",24,"Species","EVHOE","fb","TL","spe-FAO",3.12799996137619,0.00996749993646517
"555","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus",24,"Species","EVHOE","fb","TL","spe-FAO",3.17112505435944,0.00186124999163439
"556","Eutrigla gurnardus","Triglidae","Eutrigla",24,"Species","EVHOE","fb","TL","spe-FAO",3.22724997997284,0.00480000005336478
"557","Trisopterus minutus","Gadidae","Trisopterus",24,"Species","EVHOE","fb","TL","spe-FAO",3.06124997138977,0.00767500011716038
"558","Scomber scombrus","Scombridae","Scomber",24,"Species","EVHOE","fb","TL","spe-FAO",3.14799996784755,0.00553000004895564
"559","Chelidonichthys cuculus","Triglidae","Chelidonichthys",24,"Species","EVHOE","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"560","Micromesistius poutassou","Gadidae","Micromesistius",24,"Species","EVHOE","fb","TL","spe-FAO",3.31183330217997,0.00267333331673096
"561","Lophius budegassa","Lophiidae","Lophius",24,"Species","EVHOE","fb","TL","spe-FAO",2.91574996709824,0.0365024999482557
"562","Capros aper","Caproidae","Capros",24,"Species","EVHOE","fb","TL","spe-FAO",2.81924992799759,0.0299174997489899
"563","Cepola macrophthalma","Cepolidae","Cepola",24,"Species","EVHOE","fb","TL","spe-FAO",2.08899998664856,0.0198500002734363
"564","Argentina","Argentinidae","Argentina",24,"Genus","EVHOE","fb","TL","gen-FAO",3.18159999847412,0.00375999992247671
"565","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus",24,"Species","EVHOE","fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"566","Lepidorhombus boscii","Scophthalmidae","Lepidorhombus",24,"Species","EVHOE","fb","TL","spe-FAO",3.07236251235008,0.0113375000655651
"567","Conger conger","Congridae","Conger",24,"Species","EVHOE","fb","TL","spe-FAO",3.23628572055272,0.000925571441517345
"568","Gadiculus argenteus","Gadidae","Gadiculus",24,"Species","EVHOE","fb","TL","spe-FAO",3.32133332888285,0.00417666664967934
"569","Gaidropsarus vulgaris","Lotidae","Gaidropsarus",24,"Species","EVHOE","fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"570","Malacocephalus laevis","Macrouridae","Malacocephalus",24,"Species","EVHOE","fb","TL","spe-FAO",2.97150003910065,0.341374990704935
"571","Phycis blennoides","Phycidae","Phycis",24,"Species","EVHOE","fb","TL","spe-FAO",3.22157141140529,0.00510999989429755
"572","Solea solea","Soleidae","Solea",24,"Species","EVHOE","fb","TL","spe-FAO",3.07042000293732,0.007413399964571
"573","Engraulis encrasicolus","Engraulidae","Engraulis",24,"Species","EVHOE","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"574","Aphia minuta","Gobiidae","Aphia",24,"Species","EVHOE","fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"575","Chelidonichthys obscurus","Triglidae","Chelidonichthys",24,"Species","EVHOE","fb","TL","spe-FAO",3.19085717201233,0.00551000001308109
"576","Dicologlossa cuneata","Soleidae","Dicologlossa",24,"Species","EVHOE","fb","TL","spe-FAO",3.04183332125346,0.00726836667551349
"577","Hyperoplus immaculatus","Ammodytidae","Hyperoplus",24,"Species","EVHOE","fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"578","Pagrus pagrus","Sparidae","Pagrus",24,"Species","EVHOE","fb","TL","spe-FAO",2.93599998950958,0.0208499997388572
"579","Sarda sarda","Scombridae","Sarda",24,"Species","EVHOE","fb","TL","spe-FAO",3.23250007629395,0.00425000011455268
"580","Leucoraja naevus","Rajidae","Leucoraja",24,"Species","EVHOE","fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"581","Zeus faber","Zeidae","Zeus",24,"Species","EVHOE","fb","TL","spe-FAO",3.02000001498631,0.016679999950741
"582","Echiodon drummondii","Carapidae","Echiodon",24,"Species","EVHOE","fb","TL","spe-Ocean",3,0.000592592579778284
"583","Arnoglossus imperialis","Bothidae","Arnoglossus",24,"Species","EVHOE","fb","TL","spe-FAO",3.16799998283386,0.00523749989224598
"584","Torpedo marmorata","Torpedinidae","Torpedo",24,"Species","EVHOE","fb","TL","spe-FAO",2.8840000629425,0.031700000166893
"585","Pomatoschistus","Gobiidae","Pomatoschistus",24,"Genus","EVHOE","fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"586","Sprattus sprattus","Clupeidae","Sprattus",24,"Species","EVHOE","fb","TL","spe-FAO",3.11000001430511,0.00523500004783273
"587","Atherina presbyter","Atherinidae","Atherina",24,"Species","EVHOE","fb","TL","spe-FAO",3.02499997615814,0.00664999987930059
"588","Argyrosomus regius","Sciaenidae","Argyrosomus",24,"Species","EVHOE","fb","TL","spe-FAO",2.87433338165283,0.0186200002208352
"589","Lithognathus mormyrus","Sparidae","Lithognathus",24,"Species","EVHOE","fb","TL","spe-FAO",2.96600000063578,0.0173500002517054
"590","Scophthalmus maximus","Scophthalmidae","Scophthalmus",24,"Species","EVHOE","fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"591","Squalus acanthias","Squalidae","Squalus",24,"Species","EVHOE","fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"592","Bathysolea profundicola","Soleidae","Bathysolea",24,"Species","EVHOE","fb","TL","fam-FAO",3.08244706602658,0.00902630000457387
"593","Galeus melastomus","Pentanchidae","Galeus",24,"Species","EVHOE","fb","TL","spe-FAO",3.09900002479553,0.00199199996422976
"594","Lepidion eques","Moridae","Lepidion",24,"Species","EVHOE","fb","TL","spe-FAO",3.54100000858307,0.000949999986914918
"595","Notoscopelus kroyeri","Myctophidae","Notoscopelus",24,"Species","EVHOE","fb","TL","fam-FAO",2.98000001907349,0.00510000018402934
"596","Raja clavata","Rajidae","Raja",24,"Species","EVHOE","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"597","Trachurus picturatus","Carangidae","Trachurus",24,"Species","EVHOE","fb","TL","spe-FAO",3.07375001907349,0.00647749996278435
"598","Chelidonichthys lucerna","Triglidae","Chelidonichthys",24,"Species","EVHOE","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"599","Alosa","Clupeidae","Alosa",24,"Genus","EVHOE","fb","TL","gen-FAO",3.00114814440409,0.0147885183665763
"600","Clupea harengus","Clupeidae","Clupea",24,"Species","EVHOE","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"601","Hippocampus hippocampus","Syngnathidae","Hippocampus",24,"Species","EVHOE","fb","TL","spe-FAO",2.73000001907349,0.0063999998383224
"602","Leucoraja circularis","Rajidae","Leucoraja",24,"Species","EVHOE","fb","TL","spe-Ocean",3.07999992370605,0.00389999989420176
"603","Dicentrarchus labrax","Moronidae","Dicentrarchus",24,"Species","EVHOE","fb","TL","spe-FAO",3.00228571891785,0.0105842856823334
"604","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus",24,"Species","EVHOE","fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
